ID,知识点,题型,主观题类型,题干（前120字）,正确答案（前80字）,选项数量,难度
1,无,objective,-,在完全竞争市场中，长期均衡时利润为？,零,4,1000
2,无,subjective,calculate,请论述数字经济对现代宏观经济政策制定的影响。,,0,1200
4,无,objective,-,在凯恩斯交叉模型中，均衡产出条件是什么？,B,4,1000
5,无,objective,-,假设一个经济体的边际消费倾向（MPC）为0.8，且没有税收和对外贸易。如果政府购买（G）增加100单位，根据凯恩斯交叉模型，均衡产出（Y）将增加多少？,D,4,1300
6,无,objective,-,在凯恩斯交叉模型中，如果边际消费倾向（MPC）为0.75，政府购买乘数和税收乘数分别是多少？,A,4,1400
7,无,subjective,calculate,简述凯恩斯交叉模型中‘计划支出’与‘实际产出’的关系，并解释模型如何达到均衡。,在凯恩斯交叉模型中，计划支出（E）是家庭、企业和政府计划购买的商品和服务的总和，即E = C + I + G。实际产出（Y）是经济实际生产的商品和服务的价值。模,0,1500
8,无,subjective,calculate,论述凯恩斯交叉模型的核心思想及其政策含义。请结合模型中的乘数效应，分析财政政策（政府购买和税收变化）如何影响短期均衡产出。,凯恩斯交叉模型的核心思想是，在短期价格水平粘性的假设下，一个经济的均衡产出水平主要由总需求或计划总支出决定，而非经济的生产潜力（总供给）。模型强调需求侧的主导作,0,1700
15,无,subjective,calculate,1*(1+y*)^2=1268.16   得y*=9.99%\n即年复合收益率为9.99%,\n\n备注：到期收益率是使债券的支付现值与其价格相等的利率；当期收益率为每年支付的利息支付除以债券价格；复合收益率是假定在所有的利息支付都可以再投资的前提下，,0,1253
17,无,subjective,calculate,零息债券的价格反应的远期利率如下\n除零息债券外，投资者还可以购买一种每年付息60美元的3年期债券，面值为1000美元，试计算：\n该付息债券的价格是多少？\n该附息债券的到期收益率是多少？\n根据预期假说，该附息债券的预期可实现的复合收益,（2）到期收益率y满足：\n60/(1+y)+60/(1+y)^2+1060/(1+y)^3=984.14\n解得y=6.6%\n（3）利息再投资与本金的终值\,0,1208
21,无,subjective,calculate,零息债券的到期收益率即为即期利率；,,0,1201
22,无,subjective,calculate,在利率变化确定的情况下，可从零息票债券的收益率曲线中推出未来短期利率f；,,0,1202
23,无,subjective,calculate,期望假说认为远期利率等于市场整体对未来短期利率的预期，即f=E，流动性溢价为0；,,0,1203
24,无,subjective,calculate,而在流动性偏好理论中，Fn=E(Rn)+流动性溢价。,,0,1204
25,无,subjective,calculate,期望假说假设了所有债券是相互替代的，因此所有的债券都具有相同的预期收益率。\n掌握了这些知识点，利率的期限结构这类计算题也就没有难度了。,,0,1205
28,无,subjective,calculate,在上题中，假设你是投资者，并想构建1个3年后开始执行的2年期远期贷款。\n假设你于今天买入一份3年期零息债券，需要卖出多少份5年期零息债券才能使初始现金流为零？\n这一策略中每年现金流是多少？\n对这笔3年后执行的2年期远期贷款，实际的2年,（2）\n（3）两年期远期贷款实际利率为1204.5/1000-1=20.45%\n（4）第4年和第5年的1年期远期利率分别为9.5%和10%,0,1214
29,无,subjective,calculate,095*1.1=1.2045=1+（3年后远期贷款的2年远期利率）\n5年到期收益率为9%，3年到期收益率为8.5%,\n\n备注：同上题，只不过主体改变了，将头寸方向改变至相反就可以了。,0,1201
39,无,subjective,calculate,在今后的两年内每年年末你将支付10000美元的学费开支，债券即期收益率为8%。\n你的债务的现值与久期各是多少？\n期限为多久的零息债券将使你的债务完全免疫？\n假定你购入一零息债券使其价值与久期完全等于你的债务，现在假定利率迅速上升至9%,久期D=(10000/1.08*1+10000/1.082*2)/17832.65=1.4808年\n（2）要使债务免疫，需要久期为1.4808年的零息债券，面,0,1225
40,无,subjective,calculate,65*1.08^1.4808=19985.26美元\n（3）如果利率上升到9%，零息债券价值下降到,,0,1332
41,无,subjective,calculate,26/1.09^1.4808=17590.92美元\n学费债务的现值PV=10000/1.09+10000/1.09^2=17591.11美元\n净头寸下降0.19美元,\n\n备注：有一个知识点没在免疫的第一道题就说，而是放在后面，主要是想看看大家是否注意到了一个细节：免疫并不等同于充分融资。也就是说，前面几道题认为免疫组合的,0,1385
111,无,subjective,calculate,"1*(1+y*)^2=1268.16   得y*=9.99%
即年复合收益率为9.99%","

备注：到期收益率是使债券的支付现值与其价格相等的利率；当期收益率为每年支付的利息支付除以债券价格；复合收益率是假定在所有的利息支付都可以再投资的前提下，使最",0,1653
113,无,subjective,calculate,"零息债券的价格反应的远期利率如下
除零息债券外，投资者还可以购买一种每年付息60美元的3年期债券，面值为1000美元，试计算：
该付息债券的价格是多少？
该附息债券的到期收益率是多少？
根据预期假说，该附息债券的预期可实现的复合收益率是多少","（2）到期收益率y满足：
60/(1+y)+60/(1+y)^2+1060/(1+y)^3=984.14
解得y=6.6%
（3）利息再投资与本金的终值
FV=",0,1208
116,无,subjective,calculate,"期望假说假设了所有债券是相互替代的，因此所有的债券都具有相同的预期收益率。
掌握了这些知识点，利率的期限结构这类计算题也就没有难度了。",,0,1205
119,无,subjective,calculate,"在上题中，假设你是投资者，并想构建1个3年后开始执行的2年期远期贷款。
假设你于今天买入一份3年期零息债券，需要卖出多少份5年期零息债券才能使初始现金流为零？
这一策略中每年现金流是多少？
对这笔3年后执行的2年期远期贷款，实际的2年期利率","（2）
（3）两年期远期贷款实际利率为1204.5/1000-1=20.45%
（4）第4年和第5年的1年期远期利率分别为9.5%和10%",0,1214
120,无,subjective,calculate,"095*1.1=1.2045=1+（3年后远期贷款的2年远期利率）
5年到期收益率为9%，3年到期收益率为8.5%","

备注：同上题，只不过主体改变了，将头寸方向改变至相反就可以了。",0,1201
127,无,subjective,calculate,"在今后的两年内每年年末你将支付10000美元的学费开支，债券即期收益率为8%。
你的债务的现值与久期各是多少？
期限为多久的零息债券将使你的债务完全免疫？
假定你购入一零息债券使其价值与久期完全等于你的债务，现在假定利率迅速上升至9%，你的","久期D=(10000/1.08*1+10000/1.082*2)/17832.65=1.4808年
（2）要使债务免疫，需要久期为1.4808年的零息债券，面值",0,1225
181,无,subjective,calculate,上题中的欧式看跌期权变为欧式看涨期权，其他条件不变，求看涨期权的价值。,"看涨期权价值为4.9元（可以用欧式看涨看跌期权平价关系进行检验）

备注：同上",0,1313
183,无,subjective,calculate,上题中美式看跌变为美式看涨，结果如何？,"

备注：同上题",0,1315
185,无,subjective,calculate,上题中看跌期权变为看涨期权，其他条件不变，结果如何？,"

备注：同上题",0,1317
191,无,subjective,calculate,7130-0.0140=1.6990,,0,1201
192,无,subjective,calculate,"7140-0.0135=1.7005
因此远期汇率为1.6990-1.7005","

备注：此题无难度，出在选择题中的可能性较高。需要记住“左低右高向上加，左高右低向下减”，不要在简单题上造成无谓的失分。",0,1201
199,无,subjective,calculate,在第0时点借入100万元的3年资金，在第3年末还本付息；,,0,1201
200,无,subjective,calculate,在第0时点贷出5年期、100万元的贷款。,,0,1202
201,无,subjective,calculate,"借入第3年到第5年的资金，方法为进入远期利率协议，规定可以在第3年以6%的利率借款，借款额为100*(1+5%)^3=115.76万元；
该套利组合收益如下：
贷款本息和=100*(1+7%)^5=140.26万元
偿还本息和=100*(1","

备注：套利所有的操作都是站在当下0时点的，有关未来的一切交易也都是站在现在，用远期/期货来操作。逻辑链是这样的：3-5年远期利率被低估，所以借钱——远期借款",0,1203
238,无,subjective,calculate,假设公司税为40%，重新回答上题。,"计划ⅠEPS=4美元/股 计划ⅡEPS=4.91美元/股
全权益EPS=3.31美元/股
两种情况下EBIT=5750美元
EBIT=5750美元

备注：存在",0,1365
62,APV,subjective,calculate,第一汽车公司希望向神舟租车公司售一批轿车。神舟公司对其用于租赁业务的轿车有以下规定：按直线法折旧，5年后将其处理，5年后预计无残值。公司预期这批轿车每年的税前经营性现金流为100000元，企业所得税率为25%，新增这批轿车不增加企业风险，全,"（1）设最高出价x元\nNPV=0=-x+100000*(1-25%)*PVIFA(10%,5)+x/5*0.25*PVIFA(4%,5)\n解得x=36571",0,1246
144,APV,subjective,calculate,第一汽车公司希望向神舟租车公司售一批轿车。神舟公司对其用于租赁业务的轿车有以下规定：按直线法折旧，5年后将其处理，5年后预计无残值。公司预期这批轿车每年的税前经营性现金流为100000元，企业所得税率为25%，新增这批轿车不增加企业风险，全,"（1）设最高出价x元
NPV=0=-x+100000*(1-25%)*PVIFA(10%,5)+x/5*0.25*PVIFA(4%,5)
解得x=365714.",0,1246
90,APV法,subjective,calculate,公司U无负债，公司L有10万元的债务，债务资本成本为8%，假设两家公司的税前利润都为10万元，且永续，公司的所得税率为25%，那么公司L的债务能带来多大的节税收益？假设U公司的全权益资本成本为20%，那么公司L和公司U的价值又会是多少？公司,"TS=B*tc=2.5
Vu=10*(1-25%)/20%=37.5
VL=Vu+B*tc=40
其中B=10、S=30
Rs=r0+(r0-rb)*(B/S)",0,1279
76,CAPM,subjective,calculate,泰坦矿业集团发行在外的普通股数为850万股，同时在外发行的还有200000份票面利率7.5%，每半年支付一次利息的债券，每份债券面值为1000美元。目前普通股的价格为每股34美元，贝塔值为1.2，债券距离到期日还有15年，同时销售价格是面值,（1）权益的市场价值=850*34=28900万元\n负债的市场价值=20*1000*93%=18600万元\n公司价值=47500万元\n其中债务与权益的比重,0,1260
105,CAPM,subjective,calculate,某集团正在考虑一个规模扩张型项目，公司负债的市场价值为10000万美元，公司权益的市场价值是20000万美元，负债是无风险的，公司所得税率为34%，β是2，无风险利率为10%，预期市场风险溢价为8.5%，假设该集团是全权益公司，该项目的折现,"（1）确定无杠杆即全权益公司的β
（2）利用CAPM确定折现率

备注：注意β的加载与卸载公式必须在负债无风险（βb=0）的情况下才能用。“公司的β”“权益的β",0,1294
106,CAPM,subjective,calculate,北极渔业公司在全权益融资的情况下，权益贝塔值为1.25。其中负债为290万美元，权益为380万美元，市场组合的期望收益率为12.4%，无风险利率为5.3%，公司税率为35%，负债是无风险的。求公司的权益贝塔值和权益的必要收益率。,"βs=β0*[1+B/S*(1-tc)]=1.87
Rs=rf+β*(rm-rf)=18.58%

备注：回忆贝塔的加载和卸载公式的使用条件。",0,1295
107,CAPM,subjective,calculate,L公司正在考虑一个规模扩张型的项目，公司负债的市场价值为1亿美元，公司权益的市场价值为2亿美元，负债是无风险的，公司所得税税率是34%，回归分析结果表示企业权益的β是2，无风险利率为10%，预期市场风险溢价为8.5%。假设L公司是全权益公司,"β0=βs*S/[S+(1-tc)*B]=1.5
Rs=rf+β*(rm-rf)=22.75%

备注：此题属基础题，重点在于掌握多种做法。请尝试第二种方法并检",0,1296
150,CAPM,subjective,calculate,泰坦矿业集团发行在外的普通股数为850万股，同时在外发行的还有200000份票面利率7.5%，每半年支付一次利息的债券，每份债券面值为1000美元。目前普通股的价格为每股34美元，贝塔值为1.2，债券距离到期日还有15年，同时销售价格是面值,"（1）权益的市场价值=850*34=28900万元
负债的市场价值=20*1000*93%=18600万元
公司价值=47500万元
其中债务与权益的比重分别为",0,1260
165,CAPM,subjective,calculate,"某股票每年支付一次固定红利，直至永远，其市场价格为50元，年化预期收益率为14%，市场组合的年化风险溢价为5%，年化无风险利率为6%。
（1）假设CAPM模型成立，求股票的贝塔值。
（2）该股票每年每股支付多少固定红利？
（3）如果该股票收","（1）14%=6%+β*5%
β=1.6
（2）50=D/14%
D=7元
（3）
因此当协方差变为原来2倍时，β值也变为原来2倍
β’=3.2
Rs=6%+3",0,1297
229,CAPM,subjective,calculate,"两个投资顾问比较业绩，一个平均收益率为19%，另一个为16%。前者贝塔值为1.5，后者贝塔值为1.
（1）你能判断哪个投资顾问更善于预测个股吗？
（2）如果国库券利率为6%，这一期间市场收益率为14%，谁在选股方面更出色？","（1）对于个股预测来说主要考察投资顾问的阿尔法值，但因为没有相关信息，无法得出投资顾问的阿尔法值是多少。
（2）如果r1=6%  rm=14%，则：
α1=19",0,1356
45,CAPM模型,subjective,calculate,作为一名财务分析师，要利用贴现模型对M上市公司承接X工程影响其股价进行评估。假定M上市公司原来股利增长率不到1%，在承接X工程后，可将股利增长率提高到2%（3年里），β值由原来的1提高到1.2，并且3年后公司股利增长率将稳定为6%，如果目前,（1）Rs=4%+1.2*4%=8.8%\n（2）P=0.18/1.088+0.18*1.02/1.0882+0.18*1.022/(8.8%-6%)/1.08,0,1229
131,CAPM模型,subjective,calculate,作为一名财务分析师，要利用贴现模型对M上市公司承接X工程影响其股价进行评估。假定M上市公司原来股利增长率不到1%，在承接X工程后，可将股利增长率提高到2%（3年里），β值由原来的1提高到1.2，并且3年后公司股利增长率将稳定为6%，如果目前,"（1）Rs=4%+1.2*4%=8.8%
（2）P=0.18/1.088+0.18*1.02/1.0882+0.18*1.022/(8.8%-6%)/1.088",0,1229
104,CML,subjective,calculate,假设市场组合由A和B两个证券组成，它们的投资比例分别是40%和60%。已知这两个证券的期望收益率分别为10%、15%，标准差分别为20%、28%，相关系数为0.3。假设无风险收益率为5%，写出资本市场线方程。,"市场组合的预期收益率为：
E(Rm)=10%*40%+15%*60%=13%
市场组合的标准差为：
σ=(0.4^2*0.2^2+0.6^2*0.28^2+2*",0,1293
46,DDM模型,subjective,calculate,飞驰公司现有留存收益500万元，公司对外发行普通股的每股市价为40元，当前的每股收益3.2元，预计以后每股收益年增长率为8%，股利支付率为25%保持不变。\n（1）计算预计第一年年末将发放的每股股利；\n（2）计算留存收益率的资本成本。,（1）预计发放每股股利：=3.2×（1+8%）×25%=0.864（元）\n（2）Rs=0.864/40+8%=10.16%\n\n备注：给大家做道简单题休息一,0,1230
132,DDM模型,subjective,calculate,"飞驰公司现有留存收益500万元，公司对外发行普通股的每股市价为40元，当前的每股收益3.2元，预计以后每股收益年增长率为8%，股利支付率为25%保持不变。
（1）计算预计第一年年末将发放的每股股利；
（2）计算留存收益率的资本成本。","（1）预计发放每股股利：=3.2×（1+8%）×25%=0.864（元）
（2）Rs=0.864/40+8%=10.16%

备注：给大家做道简单题休息一下。",0,1230
71,EAC,subjective,calculate,某公司购进固定资产，A资产期初支付150000美元，可使用3年，年使用费5000美元。B资产期初支付100000美元，可使用2年，年使用费6000美元。折现率为8%，应该选择哪个固定资产？,"NPVa=-150000-5000*PVIFA(8%,3)=-162885.48美元
NPVb=-100000-6000*PVIFA(8%,2)=-110699",0,1255
69,EAC法投资选择,subjective,calculate,腾飞公司正现面临为其打字室购买何种文字处理器的决策。一种是购买10台A型文字处理器，每台价格为8000美元，且预计每台设备年末平均修理费为2000美元，可使用4年，无残值。另一种是购买11台B型文字处理器，每台价格为5000美元，三年后更新,"（1）10台A型文字处理器
NPV=-10*8000-10*2000*PVIFA(14%,4)=-138274美元
EAC1= -138274/PVIFA(14",0,1253
237,EPS,subjective,calculate,"某公司正比较两项不同的资本结构。计划Ⅰ发行1500股股票以及20000美元的负债。计划Ⅱ将发行1100股股票和30000美元的负债。债务利息率为10%。
在忽略税收时，假定EBIT为12000美元，全权益的发行计划是发行2300股股票。请问","计划Ⅱ的EPS最高
（2）全权益资本结构和计划Ⅰ的盈亏平衡点的EBIT为
EBIT/2300=(EBIT-0.1*20000)/1500   EBIT=5750",0,1364
234,EPS的计算,subjective,calculate,某公司是一家无负债的公司，总市值为15万美元。在经济正常的情况下，EBIT预计为1.4万美元。如果在经济扩张的情况下，EBIT可增加30%.如果经济衰退，EBIT会降低60%。公司正考虑发行6万美元利息率为5%的债务，这些钱将用于回购股票。,"经济正常时，EPS=1.4/0.25=5.6美元/股
经济扩张时，EPS=1.4*1.3/0.25=7.28美元/股
变动百分比为(7.28-5.6)/5.6=",0,1361
235,EPS的计算,subjective,calculate,假定上题中公司税率为40%，重新求解（1）、（2）。,"经济扩张时，EPS=1.4*1.3*(1-0.4)/0.25=4.368美元/股
变动百分比为(4.368-3.36)/3.36=30%
经济衰退时，EPS=1",0,1362
93,FTE法,subjective,calculate,某公司为一家生产订书钉的企业，正在考虑投资100万美元生产航空用粘合剂。公司估计该项目每年将为公司带来永续的税后无杠杆现金流300000美元，公司负债价值比为0.5，负债是无风险的。该行业目前的三个竞争者都是无杠杆的，其贝塔值分别为1.2、,"β0=(1.2+1.3+1.4)/3=1.3
R0=5%+1.3*9%=16.7%
Rs=R0+（R0-Rb）*B/S*(1-tc)=24.4%
Rwacc=B",0,1282
81,MM定理,subjective,calculate,假设U公司是一家无负债的公司，每年获得1000万元的息税前收益，且永续。公司的权益资本成本为12%。而L公司是一家与U公司完全相同的负债公司，其债务资本为800万元，负债利率为6%。计算U公司和L公司的公司价值、权益价值，以及L公司的权益资,"Vu=1000/12%=8333.33万元
根据无税MM定理命题I，Vu=VL=8333.33
其中L公司的负债800万元，权益为7533.33万元
根据无税M",0,1266
87,MM定理,subjective,calculate,A集团准备进入装饰品行业，为此该项目计划按负债-价值比25%融资。目前装饰品行业有一家B公司，它的资本有40%来自负债，60%来自权益。其权益的贝塔值为1.5.B公司的借款利率为12%，而A公司筹资时借款利率为10%。公司的所得税税率均为4,"（1）B公司的权益资本成本：
Rs=rf+β*(rm-rf)=20.75%
（2）当B公司为全权益融资时的资本成本（R0）
Rs=R0+(R0-Rb)*B/S*",0,1273
88,MM定理,subjective,calculate,试证明有税的MM命题Ⅱ即Rs=R0+B/S*(1-tc)(R0-RB),"因此Vu+tcB=B+S  得Vu=S+B*(1-tc) ①
VuR0+tcBRB=BRB+SRS 得RS=(Vu/S)*R0-(1-tc)*(B/S)RB ②",0,1274
92,MM定理,subjective,calculate,某集团公司计划通过发行负债回购部分普通股。因此，公司的负债权益比将由40%升至50%.公司目前发行在外的负债价值为430万美元。相应的债务资本成本为每年10%。息税前利润为168万美元，不考虑税收。\n（1）该公司在回购宣告前和宣告后的市场,（1）0.4/430=1.4/V\n解得V=1505万美元\n由于不考虑税收，发债回购对公司价值无影响。故回购后公司价值仍为1505万美元\n（2）Rs=(16,0,1281
94,MM定理,subjective,calculate,某公司在考虑收购另一家公司，此收购为横向并购（假定目标公司和收购公司具有相同的风险水平）。目标公司的负债权益比为1:1，每年EBIT为500万元。收购公司的负债与权益市值比为3:7.假定收购公司收购了目标公司后，资本结构保持不变。无风险利率,（1）因为所有债务都是无风险的，所以Rb=5%\nRs=5%+1.5*8%=17%\nRs=R0+(R0-Rb)*B/S=17%\n解得R0=13.4%\n目标,0,1283
156,MM定理,subjective,calculate,"某集团公司计划通过发行负债回购部分普通股。因此，公司的负债权益比将由40%升至50%.公司目前发行在外的负债价值为430万美元。相应的债务资本成本为每年10%。息税前利润为168万美元，不考虑税收。
（1）该公司在回购宣告前和宣告后的市场价","（1）0.4/430=1.4/V
解得V=1505万美元
由于不考虑税收，发债回购对公司价值无影响。故回购后公司价值仍为1505万美元
（2）Rs=(168-4",0,1281
157,MM定理,subjective,calculate,某公司在考虑收购另一家公司，此收购为横向并购（假定目标公司和收购公司具有相同的风险水平）。目标公司的负债权益比为1:1，每年EBIT为500万元。收购公司的负债与权益市值比为3:7.假定收购公司收购了目标公司后，资本结构保持不变。无风险利率,"（1）因为所有债务都是无风险的，所以Rb=5%
Rs=5%+1.5*8%=17%
Rs=R0+(R0-Rb)*B/S=17%
解得R0=13.4%
目标公司权益",0,1283
77,MM定理II,subjective,calculate,12.如果WW公司是一家全权益公司，它的贝塔值将为1.1，公司目标负债权益比为0.40，市场组合的期望收益率为12%。公司发行在外的有一份半年计息债券，将在20年后到期，票面利率为8%。债券当前价格为975美元。国库券目前收益率为5%，公司,"（1）P=975=40*(P/A,r,40)+1000*(P/F,r,40)\nr=4.13%\nrb=2r=8.26%\n（2）r0=rf+β0*(rm-rf",0,1261
151,MM定理II,subjective,calculate,12.如果WW公司是一家全权益公司，它的贝塔值将为1.1，公司目标负债权益比为0.40，市场组合的期望收益率为12%。公司发行在外的有一份半年计息债券，将在20年后到期，票面利率为8%。债券当前价格为975美元。国库券目前收益率为5%，公司,"（1）P=975=40*(P/A,r,40)+1000*(P/F,r,40)
r=4.13%
rb=2r=8.26%
（2）r0=rf+β0*(rm-rf)=1",0,1261
84,MM理论,subjective,calculate,A公司与B公司除了资本结构以外的所有条件都完全一样。A公司是一家全权益公司，发行在外的股份数是10000股，目前每股价格为20美元。B公司在资本结构中运用了杠杆，其公司负债为50000美元，债务成本为12%。每家公司能预计永续获得55000,（1）Va=10000*20=200000美元\n（2）Vb=Va=200000美元\n（3）B=50000美元，S=200000-50000=150000美元,0,1269
155,MM理论,subjective,calculate,A公司与B公司除了资本结构以外的所有条件都完全一样。A公司是一家全权益公司，发行在外的股份数是10000股，目前每股价格为20美元。B公司在资本结构中运用了杠杆，其公司负债为50000美元，债务成本为12%。每家公司能预计永续获得55000,"（1）Va=10000*20=200000美元
（2）Vb=Va=200000美元
（3）B=50000美元，S=200000-50000=150000美元
（",0,1269
49,NPVGO,subjective,calculate,KS公司的股票当前售价为每股10美元，预计明年每股收益为2美元，公司有一项政策规定每年收益的50%用于分红，其余收益用于投资年收益率为20%的项目。上述情况的预期是不确定的。\n（1）假定KS公司利用固定增长的股利贴现模型估计出公司股票当前,（1）P0=10 E1=2 b=0.5 ROE=0.2\ng=b*ROE=10%\nr=D1/P0+g=2*50%/10+10%=20%\n（2）NPVGO=P,0,1233
55,NPVGO,subjective,calculate,市场普遍认为，KS公司的股东权益收益率为9%，β值为1.25，目前再投资比率为2/3，公司计划仍保持这一水平。今年的每股收益是3美元/股，刚刚支付完年终分红。市场上的绝大多数参与者都认为明年市场期望收益率为14%，国库券收益率为6%。\n（,（1）r=6%+1.25*(14%-6%)=16%\ng=b*ROE=2/3*9%=6%\nD1=3*(1+6%)*1/3=1.06美元\nP0=D1/(r-g,0,1239
56,NPVGO,subjective,calculate,预计F公司的股利每年约增长5%。请回答：\n（1）如果今年的年终分红是每股8美元，市场资本化率为每年10%，利用股利贴现模型计算当前公司股价。\n（2）如果每股期望收益为12美元，未来投资机会的隐含收益率是多少？\n（3）求未来增长机会的每,（1）g=5%  D1=8美元  r=10%\nP0=D1/(r-g)=8/(10%-5%)=160美元\n（2）d=8/12=2/3  b=1/3\ng=b*,0,1240
135,NPVGO,subjective,calculate,"KS公司的股票当前售价为每股10美元，预计明年每股收益为2美元，公司有一项政策规定每年收益的50%用于分红，其余收益用于投资年收益率为20%的项目。上述情况的预期是不确定的。
（1）假定KS公司利用固定增长的股利贴现模型估计出公司股票当前市","（1）P0=10 E1=2 b=0.5 ROE=0.2
g=b*ROE=10%
r=D1/P0+g=2*50%/10+10%=20%
（2）NPVGO=P0-E",0,1233
140,NPVGO,subjective,calculate,"市场普遍认为，KS公司的股东权益收益率为9%，β值为1.25，目前再投资比率为2/3，公司计划仍保持这一水平。今年的每股收益是3美元/股，刚刚支付完年终分红。市场上的绝大多数参与者都认为明年市场期望收益率为14%，国库券收益率为6%。
（1","（1）r=6%+1.25*(14%-6%)=16%
g=b*ROE=2/3*9%=6%
D1=3*(1+6%)*1/3=1.06美元
P0=D1/(r-g)=1",0,1239
